point,gxxx,gxxy,gxxz,gxyz,gyyx,gyyy,gyyz,gzzx,gzzy,gzzz,size,ratio
81,2.98180898841e-05,1.32078354684e-06,3.95023315179e-06,2.39293204896e-08,4.60383935467e-06,1.21077831697e-06,2.66504430616e-06,3.44219292388e-05,1.10005229864e-07,6.61527745795e-06,30.0,0.0
82,2.85468019085e-05,2.04851582271e-06,3.92647057737e-06,3.6912088736e-08,5.76369766045e-06,1.87907501812e-06,2.68543314745e-06,3.43104995689e-05,1.69440804595e-07,6.61190372481e-06,30.0,0.0
83,2.70639869062e-05,1.82633243962e-06,3.89906886775e-06,3.2709728532e-08,7.11841555998e-06,1.67642708606e-06,2.70897037303e-06,3.41824024661e-05,1.49905353567e-07,6.60803924079e-06,30.0,0.0
84,2.60748877325e-05,7.27679521921e-07,3.88096613868e-06,1.29823667331e-08,8.02311252032e-06,6.68245166277e-07,2.72453468487e-06,3.40980002528e-05,5.94343556434e-08,6.60550082355e-06,30.0,0.0
85,2.60748877325e-05,7.27679521921e-07,3.88096613868e-06,1.29823667331e-08,8.02311252032e-06,6.68245166277e-07,2.72453468487e-06,3.40980002528e-05,5.94343556434e-08,6.60550082355e-06,30.0,0.0
86,2.70639869062e-05,1.82633243962e-06,3.89906886775e-06,3.2709728532e-08,7.11841555998e-06,1.67642708606e-06,2.70897037303e-06,3.41824024661e-05,1.49905353567e-07,6.60803924079e-06,30.0,0.0
87,2.85468019085e-05,2.04851582271e-06,3.92647057737e-06,3.6912088736e-08,5.76369766045e-06,1.87907501812e-06,2.68543314745e-06,3.43104995689e-05,1.69440804595e-07,6.61190372481e-06,30.0,0.0
88,2.98180898841e-05,1.32078354684e-06,3.95023315179e-06,2.39293204896e-08,4.60383935467e-06,1.21077831697e-06,2.66504430616e-06,3.44219292388e-05,1.10005229864e-07,6.61527745795e-06,30.0,0.0
89,3.03117132328e-05,1.69406589451e-20,3.95953141834e-06,1.00585162486e-21,4.15390871553e-06,1.86347248396e-20,2.65707206997e-06,3.44656219483e-05,1.69406589451e-21,6.61660348831e-06,30.0,0.0
90,3.81164826264e-20,4.23516473627e-22,1.66848604839e-06,9.26442286059e-23,1.17525821432e-20,7.41153828848e-22,1.66848604839e-06,9.10560418298e-21,5.29395592034e-23,3.33697209678e-06,30.0,0.0
91,3.36695596534e-20,2.11758236814e-22,1.66848604839e-06,3.57342024623e-22,1.50348348138e-20,1.05879118407e-21,1.66848604839e-06,7.41153828848e-21,1.00585162486e-21,3.33697209678e-06,30.0,0.0
92,3.7481207916e-20,2.11758236814e-22,1.66848604839e-06,5.55865371636e-22,1.49289556954e-20,2.54109884176e-21,1.66848604839e-06,1.01643953671e-20,1.37642853929e-21,3.33697209678e-06,30.0,0.0
93,3.57871420215e-20,4.23516473627e-22,1.66848604839e-06,0.0,1.13820052287e-20,1.4823076577e-21,1.66848604839e-06,8.68208770936e-21,4.23516473627e-22,3.33697209678e-06,30.0,0.0
94,3.28225267061e-20,2.32934060495e-21,1.66848604839e-06,2.91167575619e-22,1.40554529685e-20,4.02340649946e-21,1.66848604839e-06,7.41153828848e-21,1.27054942088e-21,3.33697209678e-06,30.0,0.0
95,3.92811529289e-20,2.32934060495e-21,1.66848604839e-06,1.5881867761e-22,1.16467030247e-20,2.11758236814e-21,1.66848604839e-06,9.3173624198e-21,5.29395592034e-22,3.33697209678e-06,30.0,0.0
96,3.70576914424e-20,1.05879118407e-21,1.66848604839e-06,1.5881867761e-22,1.33407689193e-20,5.29395592034e-22,1.66848604839e-06,9.52912065661e-21,3.1763735522e-22,3.33697209678e-06,30.0,0.0
97,3.6951812324e-20,0.0,1.66848604839e-06,3.70576914424e-22,1.29172524456e-20,1.4823076577e-21,1.66848604839e-06,9.10560418298e-21,1.27054942088e-21,3.33697209678e-06,30.0,0.0
98,3.62900678339e-20,1.4823076577e-21,1.66848604839e-06,3.1763735522e-22,1.27054942088e-20,4.12928561786e-21,1.66848604839e-06,8.47032947254e-21,2.43521972336e-21,3.33697209678e-06,30.0,0.0
99,3.62635980543e-20,2.96461531539e-21,1.66848604839e-06,0.0,1.27054942088e-20,2.01170324973e-21,1.66848604839e-06,9.21148330139e-21,2.11758236814e-22,3.33697209678e-06,30.0,0.0
100,8.76136603473e-08,1.53739272938e-13,5.22996286922e-05,2.97271989408e-13,1.04009805868e-07,1.06657757637e-12,0.000106023787626,1.62366107094e-08,8.33945982956e-14,5.37151467989e-05,30.0,2.5
101,3.78203708223e-07,1.7140363743e-05,1.16945665319e-06,4.57899018417e-08,3.19982760403e-07,4.82381613382e-05,0.000153559811375,5.85119357189e-08,3.10979370356e-05,0.000154719498799,30.0,2.5
102,5.30093417926e-07,2.785417201e-05,1.24016018361e-05,5.84090406162e-08,4.32484700514e-07,4.0268006921e-05,8.74929871585e-05,9.76573745233e-08,1.24136266688e-05,9.98852956742e-05,30.0,2.5
103,5.04520632626e-07,1.28547049054e-05,1.97272266836e-05,3.77945417647e-08,4.18801181976e-07,1.09000767011e-05,0.000120323616863,8.59947185463e-08,2.37550225551e-05,0.000100586821822,30.0,2.5
104,9.14913800746e-07,3.78946219394e-06,4.75408260795e-05,7.75262457859e-08,7.23681922538e-07,2.7731727826e-05,6.54121635518e-05,1.91287365734e-07,2.39423488512e-05,1.7861967747e-05,30.0,2.5
